uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
43150,4265,DW-1750,0,0,0,0,0,0,0,0,0,0,0,10
43151,4265,AG-0500,0,0,0,0,0,0,0,1,1,8,0,0
43152,4265,TB-1060,0,0,0,0,0,0,0,3,2,13,0,0
43153,4265,TW-2875,0,0,0,0,0,0,0,1,0,0,0,0
43154,4265,AS-1600,7,4,35,0,1,1,2,0,0,0,0,0
43155,4265,AW-1650,0,0,0,0,0,0,0,1,1,3,0,0
43156,4265,TH-1750,0,0,0,0,0,0,0,1,1,9,0,0
43157,4265,JM-0200,0,0,0,0,0,0,0,1,1,19,0,0
43158,4265,CC-3950,0,0,0,0,0,0,0,1,0,0,0,0
43159,4265,CW-1450,0,0,0,0,0,0,0,1,1,4,0,0
43160,4265,SW-0350,0,0,0,0,2,2,11,0,0,0,0,0
43161,4265,TK-0150,0,0,0,0,0,0,0,1,0,0,0,0
43162,4266,DM-0450,0,0,0,0,2,0,-4,0,0,0,0,0
43163,4266,MR-2500,7,6,18,0,0,0,0,0,0,0,0,0
43164,4266,MS-0150,0,0,0,0,0,0,0,2,2,9,0,0
43165,4266,JH-1350,0,0,0,0,0,0,0,1,1,0,0,0
43166,4266,JT-0300,0,0,0,0,0,0,0,1,1,3,0,5
43167,4266,DF-1875,0,0,0,0,4,2,8,2,2,6,0,0
43168,4266,AH-3650,0,0,0,0,0,0,0,0,0,0,0,4
43169,4266,JW-5650,1,1,4,0,0,0,0,0,0,0,0,0
43170,4266,BM-3800,0,0,0,0,0,0,0,1,1,4,0,0
43171,4266,TC-2050,0,0,0,0,1,0,1,1,0,0,0,0
43172,4267,TR-0112,0,0,0,0,1,0,1,0,0,0,0,0
43173,4267,RW-3850,5,3,16,0,0,0,0,0,0,0,0,0
43174,4267,JK-0250,0,0,0,0,0,0,0,1,0,0,0,0
43175,4267,AF-0900,0,0,0,0,1,0,0,1,0,0,0,0
43176,4267,DB-0500,0,0,0,0,0,0,0,3,2,11,0,0
43177,4267,RT-0150,4,1,12,0,2,1,0,0,0,0,0,0
43178,4267,JL-0215,0,0,0,0,0,0,0,1,0,0,0,0
43179,4267,LC-0150,0,0,0,0,0,0,0,1,1,12,0,0
43180,4267,TL-1025,0,0,0,0,0,0,0,1,1,5,0,0
43181,4267,CM-2280,0,0,0,0,1,0,0,0,0,0,0,0
43182,4268,GT-0100,0,0,0,0,1,0,2,1,1,6,0,0
43183,4268,MS-4100,6,5,46,0,0,0,0,0,0,0,0,0
43184,4268,TR-0370,0,0,0,0,0,0,0,2,2,23,0,0
43185,4268,DW-1550,0,0,0,0,2,1,1,0,0,0,0,0
43186,4268,AA-0025,0,0,0,0,1,1,6,1,1,11,0,0
