pid,bc,dir,yds,succ,kne
697761,MF-1300,RG,8,1,0
697762,BP-1200,RT,16,1,0
697763,BP-1200,RT,7,1,0
697765,BP-1200,RT,16,1,0
697766,MF-1300,RG,3,0,0
697767,MF-1300,MD,9,1,0
697768,RF-0500,MD,2,1,0
697769,MF-1300,MD,-1,0,0
697773,GB-0350,LG,11,1,0
697775,GB-0350,LE,6,1,0
697780,RF-0500,MD,9,1,0
697782,MF-1300,LG,4,1,0
697783,MF-1300,LG,1,0,0
697785,MF-1300,MD,3,0,0
697787,BP-1200,RG,2,0,0
697791,JH-4025,MD,6,1,0
697793,JH-4025,RT,4,1,0
697795,JH-4025,MD,-1,0,0
697796,JH-4025,RG,-2,0,0
697803,AD-0100,NL,0,0,1
697805,RM-1200,MD,6,1,0
697806,KB-0350,LE,1,0,0
697811,KB-0350,MD,5,1,0
697813,RM-1200,RE,1,0,0
697818,IC-0300,MD,1,0,0
697819,RG-1850,RE,4,0,0
697821,RM-1200,MD,4,1,0
697825,RM-1200,MD,3,0,0
697829,IC-0300,RE,1,0,0
697833,RM-1200,RE,7,1,0
697834,RM-1200,MD,5,1,0
697835,RM-1200,RE,4,1,0
697836,DS-3300,RE,2,0,0
697840,AH-1900,LE,-1,0,0
697842,DJ-1850,RE,-6,0,0
697844,RM-1200,RE,1,0,0
697845,RM-1200,RE,2,0,0
697854,IC-0300,RT,1,0,0
697857,IC-0300,LE,2,1,0
697861,RM-1200,LE,1,0,0
697865,IC-0300,LG,6,1,0
697866,IC-0300,LE,-4,0,0
697868,RG-1850,RE,20,1,0
697869,IC-0300,RE,5,1,0
697871,DS-3300,LE,3,0,0
697872,KB-0350,RE,17,1,0
697873,RM-1200,MD,1,0,0
697883,DJ-1850,RE,17,1,0
697884,RG-1850,RE,2,0,0
697889,IC-0300,RT,0,0,0
697894,RM-1200,LG,1,0,0
697897,DS-3300,MD,4,1,0
697902,RG-1850,MD,0,0,0
697906,RM-1200,LE,6,1,0
697908,WS-0650,MD,1,0,0
697915,IC-0300,RE,10,1,0
697922,RM-1200,LE,6,1,0
697923,KB-0350,LE,19,1,0
697924,DS-3300,LE,6,1,0
697925,CW-1425,MD,0,0,0
697933,RM-1200,LE,2,0,0
697934,CW-1425,LE,1,0,0
697939,DJ-1850,MD,11,0,0
697942,RM-1200,LE,7,1,0
697943,RM-1200,RE,5,1,0
697946,DS-3300,RE,-3,0,0
697954,RG-1850,RE,11,0,0
697956,RM-1200,MD,6,1,0
697957,RM-1200,RE,6,1,0
697958,RM-1200,RE,1,1,0
697959,RM-1200,RT,1,1,0
697961,RM-1200,LE,1,1,0
697964,IC-0300,MD,16,1,0
697965,IC-0300,MD,20,1,0
697966,IC-0300,MD,4,0,0
697968,TY-0150,MD,6,1,0
697969,TY-0150,RG,5,1,0
697971,TY-0150,LG,2,0,0
697973,EL-0010,LE,-2,0,0
697976,EL-0010,MD,9,1,0
697978,EL-0010,RE,0,0,0
697979,AR-1300,RE,6,1,0
697982,TY-0150,RE,-2,0,0
697987,TY-0150,MD,-2,0,0
697991,EL-0010,MD,3,0,0
697996,TY-0150,MD,6,1,0
697997,TY-0150,MD,5,1,0
698000,JS-6200,LE,2,0,0
698001,JS-6200,MD,4,0,0
698004,TY-0150,MD,7,1,0
698005,TY-0150,RE,-7,0,0
698009,EL-0010,LE,-1,0,0
698014,TY-0150,MD,-2,0,0
698019,TY-0150,MD,1,0,0
698021,TY-0150,MD,3,1,0
698022,TY-0150,MD,-1,0,0
698027,EL-0010,RE,5,1,0
698028,RC-1500,MD,6,1,0
698029,EL-0010,MD,6,1,0
698038,DR-2250,MD,2,0,0
698042,TY-0150,MD,0,0,0
698055,BB-2425,NL,-1,0,1
698058,EL-0010,MD,6,1,0
698064,JS-6200,MD,1,0,0
698072,BB-2425,LE,3,0,0
698075,TY-0150,MD,3,0,0
698076,TY-0150,MD,5,1,0
698077,DR-2250,MD,2,1,0
698078,DR-2250,LE,3,0,0
698087,RC-1500,LE,1,0,0
698089,AR-1300,MD,3,1,0
698092,EL-0010,MD,3,0,0
698093,EL-0010,RE,28,1,0
698094,EL-0010,MD,2,0,0
698097,RC-1500,RG,4,1,0
698098,EL-0010,MD,3,1,0
698099,EL-0010,MD,1,0,0
698100,JS-6200,MD,0,0,0
698105,TY-0150,LG,6,1,0
698106,TY-0150,RE,2,0,0
698107,TY-0150,MD,-2,0,0
698113,TY-0150,MD,4,1,0
698119,AR-1300,LE,8,1,0
698120,EL-0010,LE,-2,0,0
698125,TY-0150,LE,0,0,0
698136,AR-1300,NL,-1,0,1
698138,DM-4300,MD,6,1,0
698139,DH-2450,RG,3,1,0
698140,MM-0912,LE,3,1,0
698143,DM-4300,LE,12,1,0
698145,DM-4300,RG,-1,0,0
698148,AP-0700,LG,1,0,0
698152,DM-4300,LT,4,1,0
698154,DM-4300,MD,5,1,0
698156,MM-0912,RE,6,1,0
698157,DM-4300,LE,-2,0,0
698162,AP-0700,LG,2,1,0
698164,AP-0700,LT,7,1,0
698165,AP-0700,LT,1,0,0
698170,AP-0700,MD,9,1,0
698171,AP-0700,LG,2,1,0
698172,AP-0700,LT,-2,0,0
698173,AP-0700,RG,-2,0,0
698175,JM-3450,LE,6,0,0
698177,DM-4300,MD,2,0,0
698180,DH-2450,LG,5,1,0
698183,DH-2450,LE,-1,0,0
698185,AP-0700,RE,2,0,0
698195,DM-4300,MD,4,1,0
698197,DM-4300,MD,2,0,0
698217,AP-0700,LG,2,0,0
698222,DM-4300,LE,3,1,0
698223,DH-2450,MD,0,0,0
698225,AP-0700,RG,-2,0,0
698227,AP-0700,RG,2,0,0
698230,AP-0700,MD,3,0,0
698231,CP-0750,RE,8,1,0
698233,AP-0700,MD,-1,0,0
698234,SH-1100,RT,9,0,0
698240,DH-2450,LT,-4,0,0
698241,MM-0912,MD,10,1,0
698248,DM-4300,RT,4,0,0
698253,AP-0700,RT,-5,0,0
698255,AP-0700,RG,3,1,0
698258,AP-0700,MD,4,1,0
698263,MM-0912,MD,0,0,0
698267,DM-4300,LT,2,0,0
698268,DM-4300,MD,1,0,0
698269,AP-0700,MD,1,0,0
698270,AP-0700,RT,4,0,0
698277,MA-1150,LG,2,0,0
698278,MA-1150,RG,6,1,0
698280,MA-1150,MD,6,1,0
698281,MA-1150,MD,-1,0,0
698282,SD-0537,RE,-1,0,0
698297,SH-1100,NL,-1,0,1
698304,LM-1850,RG,1,0,0
698310,JK-2200,RT,2,1,0
698311,MI-0100,LG,12,1,0
698313,TC-0050,RE,1,0,0
698315,MI-0100,LG,4,1,0
698318,JK-2200,LG,2,0,0
698322,LM-1850,RG,4,1,0
698327,DW-1350,LT,5,1,0
698329,LM-1850,LG,6,1,0
698332,MI-0100,LT,3,0,0
698334,TH-1600,RT,3,1,0
698335,TH-1600,LT,5,1,0
698345,LM-1850,RE,1,0,0
698347,DC-0725,LE,11,1,0
698348,TJ-2400,RE,-8,0,0
698349,LM-1850,RG,9,0,0
698352,MI-0100,LG,0,0,0
698354,MI-0100,LG,9,1,0
698355,MI-0100,RG,3,1,0
698356,TH-1600,LT,1,0,0
698363,LM-1850,RT,9,1,0
698368,MI-0100,LG,2,1,0
698369,DB-3800,RG,1,1,0
698378,LM-1850,RG,2,1,0
698385,DW-1350,RG,4,1,0
698386,DW-1350,LG,3,0,0
698389,MI-0100,RG,-1,0,0
698396,LM-1850,LG,9,1,0
698397,LM-1850,LG,3,1,0
698399,DW-1350,RT,0,0,0
698408,LM-1850,RG,3,1,0
698409,LM-1850,LG,5,1,0
698412,LM-1850,RG,-1,0,0
698415,DW-1350,RG,2,0,0
698421,BC-2325,LE,11,1,0
698422,TH-1600,LG,0,0,0
698426,MI-0100,LG,3,0,0
698433,JO-0550,LG,2,1,0
698439,MI-0100,RG,17,1,0
698440,MI-0100,RG,2,0,0
698442,DB-3800,LE,4,0,0
698446,JR-2075,LG,75,1,0
698450,MI-0100,RT,4,1,0
698455,LM-1850,LG,10,1,0
