player,fname,lname,pname,pos1,pos2,height,weight,yob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp
AL-1000,Al,Lucas,A.Lucas,DL,,73,294,1978,5,28,36,108,4.56,7.44,0,0,0,Troy,Southland,2000,INA,INA,0,0
AL-1100,Andrew,Luck,A.Luck,QB,,76,234,1989,4.59,0,36,124,4.28,6.8,32.625,10,1,Stanford,Pacific 12,2012,IND,QB,12,1
AL-1200,Aaron,Lynch,A.Lynch,LB,DL,77,249,1993,4.69,18,29,117,4.61,7.46,0,0,150,South Florida,American Athletic,2014,SF,SUS,59,1
AL-1300,Arthur,Lynch,A.Lynch,TE,,77,258,1990,4.75,28,29.5,116,4.35,7.38,32.5,10.125,155,Georgia,Southeastern (SEC),2014,INA,INA,0,0
AM-0050,Ashaad,Mabry,A.Mabry,DL,,75,315,1992,5.34,26,22.5,99,5.18,8.39,0,0,0,Texas-San Antonio,Conference USA (C-USA),2015,NO,PS,96,5
AM-0100,Alex,Mack,A.Mack,OL,,76,311,1985,5.17,20,28.5,106,4.75,7.31,0,0,21,California,Pacific 10,2009,ATL,C,51,1
AM-0200,Anthony,Maddox,A.Maddox,DL,,73,305,1978,5.11,0,0,0,0,0,0,0,118,Delta State,,2004,INA,INA,0,0
AM-0300,Adrian,Madise,A.Madise,WR,,71,215,1980,4.49,0,32,119,4.26,7.32,0,0,158,Texas Christian,Conference USA (C-USA),2003,INA,INA,0,0
AM-0400,Anthony,Madison,A.Madison,DB,,69,180,1981,4.45,14,38.5,123,4.41,6.93,0,0,0,Alabama,Southeastern (SEC),2006,INA,INA,0,0
AM-0500,Alex,Magee,A.Magee,DL,,74,295,1987,5.03,30,29.5,113,4.42,7.15,0,0,67,Purdue,Big Ten,2009,INA,INA,0,0
AM-0600,Anthony,Malbrough,A.Malbrough,DB,,70,185,1976,4.44,20,35.5,117,4,6.73,0,0,130,Texas Tech,Big 12,2000,INA,INA,0,0
AM-0700,Alfred,Malone,A.Malone,DL,,77,308,1982,5.16,21,35,110,4.62,7.42,0,0,0,Troy,Sun Belt,2005,INA,INA,0,0
AM-0750,Ali,Marpet,A.Marpet,OL,,76,307,1993,4.96,30,30.5,108,4.47,7.33,0,0,61,Hobart,,2015,TB,RG,74,1
AM-0800,Alfonso,Marshall,A.Marshall,DB,,73,186,1981,4.47,0,0,0,0,0,0,0,215,Miami (FL),Big East,2004,INA,INA,0,0
AM-0900,Aaron,Maybin,A.Maybin,DL,LB,76,250,1988,4.78,22,40,124,4.38,7.52,0,0,11,Penn State,Big Ten,2009,INA,INA,0,0
AM-1000,Adrian,Mayes,A.Mayes,DB,,73,211,1980,4.5,0,0,0,0,0,0,0,0,LSU,Southeastern (SEC),2004,INA,INA,0,0
AM-1100,Alonzo,Mayes,A.Mayes,TE,,76,259,1975,0,0,0,0,0,0,0,0,94,Oklahoma State,Big 12,1998,INA,INA,0,0
AM-1125,Alex,McCalister,A.McCalister,DL,,78,239,1993,4.75,0,34.5,128,4,7.01,36,9.375,240,Florida,Southeastern (SEC),2016,PHI,RES,50,2
AM-1150,A.J.,McCarron,A.McCarron,QB,,75,220,1990,4.9,0,28,99,4.34,7.18,31.5,10,164,Alabama,Southeastern (SEC),2014,CIN,QB,5,2
AM-1175,Antoine,McClain,A.McClain,OL,,77,336,1989,5.48,19,27,91,4.82,8.13,0,0,0,Clemson,Atlantic Coast (ACC),2012,INA,INA,0,0
