uid,pid,ptm,pen,desc,cat,pey,act
62937,699219,NYG,JJ-2100,Offensive Holding,2,10,A
62938,699222,NYG,JP-4350,Offensive Holding,2,10,A
62939,699243,DAL,MC-1350,Defensive Holding,5,5,A
62940,699274,NYG,SS-1250,Illegal Formation,3,0,D
62941,699276,DAL,LC-0825,Offensive Holding,2,10,A
62942,699281,NYG,LD-0650,False Start,1,5,A
62943,699296,DAL,LC-0825,Offensive Holding,2,10,A
62944,699312,DAL,ZM-0050,False Start,1,5,A
62945,699324,ARI,DB-6350,Delay of Game,3,5,A
62946,699329,NE,TK-0050,Offensive Holding,2,9,A
62947,699345,ARI,RN-1275,Neutral Zone,4,5,A
62948,699359,NE,PC-0300,Defensive Holding,5,0,D
62949,699362,ARI,DH-4550,Face Mask,6,0,D
62950,699364,NE,AD-1175,False Start,1,5,A
62951,699370,ARI,,Unsportsmanlike Conduct,6,15,A
62952,699393,NE,DA-1425,Tripping,7,10,A
62953,699394,NE,SM-0850,Offensive Holding,2,10,A
62954,699424,NE,,12 On-field,3,0,D
62955,699434,ARI,KM-1950,Roughing the Passer,6,15,A
62956,699437,NE,MC-0400,Offensive Holding,2,0,O
62957,699437,ARI,TB-2400,Defensive Pass Interference,5,0,O
62958,699438,NE,MB-1800,Offensive Holding,2,10,A
62959,699444,NE,MB-5250,Defensive Holding,5,5,A
62960,699450,NE,JC-3550,Leaping,8,15,A
62961,699461,NE,JG-0650,Delay of Game,3,5,A
62962,699466,ARI,TB-2400,Offensive Holding,2,8,A
62963,699475,ARI,EW-0350,Offensive Holding,2,10,A
62964,699510,WAS,KL-1000,False Start,1,5,A
62965,699513,PIT,AB-3875,Defensive Offside,4,0,D
62966,699529,WAS,VD-0100,Offensive Holding,2,10,A
62967,699530,WAS,TW-2800,False Start,1,5,A
62968,699562,WAS,MJ-2275,False Start,1,5,A
62969,699566,PIT,MM-3800,Illegal Block Above the Waist,7,10,A
62970,699571,PIT,AB-3500,Unsportsmanlike Conduct,6,15,A
62971,699577,WAS,KL-1000,False Start,1,5,A
62972,699580,WAS,TW-2800,Offensive Holding,2,10,A
62973,699608,PIT,JJ-0725,Offensive Holding,2,10,A
62974,699612,WAS,JN-1750,Defensive Offside,4,5,A
62975,699616,WAS,SL-0300,False Start,1,5,A
62976,699631,PIT,RC-1550,Defensive Pass Interference,5,46,A
62977,699661,LA,LJ-1800,Defensive Holding,5,5,A
62978,699684,LA,TG-1950,Taunting,6,15,A
62979,699693,LA,LJ-1800,Defensive Holding,5,3,A
62980,699704,LA,AD-1475,Roughing the Passer,6,15,A
62981,699734,LA,JF-2750,Offensive Holding,2,10,A
62982,699746,LA,CW-1950,Illegal Use of Hands,2,10,A
62983,699763,SF,AT-0750,False Start,1,5,A
62984,699764,LA,TJ-2250,Defensive Pass Interference,5,12,A
62985,699766,SF,,Illegal Shift,3,5,A
62986,699784,LA,AD-1475,Unnecessary Roughness,6,15,A
62987,699784,LA,AD-1475,Disqualification,6,12,A
62988,699786,LA,CS-1250,Defensive Pass Interference,5,5,A
62989,699812,BUF,SG-0650,Defensive Holding,5,5,A
62990,699821,NYJ,BQ-0200,False Start,1,5,A
62991,699827,NYJ,SR-0670,Taunting,6,15,A
62992,699834,BUF,RD-0050,Defensive Pass Interference,5,26,A
62993,699848,BUF,SG-0650,Face Mask,6,4,A
62994,699857,BUF,JM-4550,Offensive Holding,2,10,A
62995,699859,BUF,NO-0150,Offensive Holding,2,10,A
62996,699866,NYJ,WJ-0275,False Start,1,5,A
62997,699898,NYJ,MW-1800,Neutral Zone,4,5,A
62998,699901,NYJ,RC-1200,Offensive Holding,2,10,A
62999,699901,NYJ,ED-0200,Taunting,6,0,D
63000,699921,BUF,,12 On-field,3,4,A
63001,699926,NYJ,MW-2250,Illegal Contact,5,5,A
63002,699942,NYJ,LM-0550,Neutral Zone,4,5,A
63003,699976,CLE,TP-2400,Offensive Pass Interference,2,10,A
63004,700018,BAL,CM-3250,Neutral Zone,4,5,A
63005,700020,CLE,CE-0650,False Start,1,5,A
63006,700041,CLE,SP-0100,Roughing the Passer,6,9,A
63007,700063,CLE,DJ-2670,Offensive Holding,2,10,A
63008,700074,CLE,JH-0100,Illegal Contact,5,5,A
63009,700078,CLE,CC-3650,Illegal Touch Pass,3,0,A
63010,700085,BAL,,Illegal Shift,3,5,A
63011,700086,BAL,RW-0150,Chop Block,7,14,A
