uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88623,4258,SW-0450,0,0,0,0,0,0,0,0,0,6,4,43,0,0,0,0,0,0,0,42,4.3,6.3,8.3,1,3,2016,BUF,LWR,14,1
88624,4258,GS-0100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,1,6,2016,BUF,RWR,11,2
88625,4258,GG-0487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,1,1,2016,BUF,FB,48,1
88626,4258,RW-4050,0,0,0,0,0,0,0,0,0,5,4,20,0,0,0,0,0,0,0,41,2,4,6,1,4,2016,BUF,RWR,10,1
88627,4258,RB-4900,0,0,0,0,0,3,1,-4,0,1,0,0,0,1,0,0,0,0,0,4,-0.4,-0.4,-0.4,1,11,2016,BUF,RB,22,3
88628,4258,DP-1300,0,0,0,0,0,0,0,0,0,4,3,39,0,0,0,0,0,0,0,56,3.9,5.4,6.9,1,7,2016,BAL,TE,88,1
88629,4258,CM-2675,0,0,0,0,0,0,0,0,0,2,1,13,0,0,0,0,0,0,0,14,1.3,1.8,2.3,1,1,2016,BAL,RWR,10,3
88630,4258,BT-0300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,2,0,0,0,1,8,2016,BUF,RWR,15,3
88631,4258,NO-0150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,2016,BUF,TE,84,3
88632,4259,TE-0350,0,0,0,0,0,1,0,3,0,2,1,5,0,10,102,0,0,0,0,11,0.8,1.3,1.8,1,1,2016,HOU,RB,34,4
88633,4259,LM-1150,0,0,0,0,0,28,10,106,0,4,4,11,0,0,0,0,0,0,0,60,11.7,13.7,18.7,1,5,2016,HOU,RB,26,1
88634,4259,BO-0650,35,22,231,1,2,4,2,14,0,0,0,0,0,0,0,0,0,0,0,75,16.64,17.64,16.64,1,5,2016,HOU,QB,17,1
88635,4259,CF-0375,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,38,0.6,1.1,1.6,1,3,2016,HOU,TE,87,1
88636,4259,DH-3950,0,0,0,0,0,0,0,0,0,8,5,54,1,0,0,0,0,10,0,73,11.4,13.9,16.4,1,4,2016,HOU,LWR,10,1
88637,4259,JL-0280,0,0,0,0,0,17,10,57,1,4,2,6,0,0,0,0,0,0,0,54,12.3,13.3,14.3,1,2,2016,CHI,RB,33,1
88638,4259,JC-6200,29,16,216,1,1,2,1,12,0,0,0,0,0,0,0,0,0,0,0,56,11.84,12.84,11.84,1,11,2016,CHI,QB,6,1
88639,4259,AJ-0430,0,0,0,0,0,0,0,0,0,6,4,105,0,0,0,0,0,0,0,53,10.5,12.5,17.5,1,5,2016,CHI,LWR,17,1
88640,4259,ER-0500,0,0,0,0,0,0,0,0,0,6,4,57,1,5,40,0,0,0,0,36,11.7,13.7,15.7,1,9,2016,CHI,RWR,19,2
