pid,kicker,kgro,knet,ktb,kr,kry
699636,BP-0750,65,40,1,,0
699668,BP-0750,71,44,0,BC-3070,27
699696,BP-0750,65,40,1,,0
699722,GZ-2000,65,40,1,,0
699772,BP-0750,65,40,1,,0
699790,BP-0750,69,37,0,BC-3070,32
699806,DC-0500,65,40,1,,0
699824,NF-0300,69,47,0,BT-0300,22
699829,DC-0500,47,36,0,JM-0887,11
699840,NF-0300,61,39,0,BT-0300,22
699852,NF-0300,65,40,1,,0
699871,NF-0300,65,40,1,,0
699885,DC-0500,64,55,0,JM-0887,9
699887,NF-0300,65,40,1,,0
699892,DC-0500,64,45,0,JM-0887,19
699900,DC-0500,53,38,0,JH-5650,15
699924,NF-0300,63,18,0,BT-0300,45
699938,NF-0300,66,43,0,BT-0300,23
699951,NF-0300,53,40,0,BT-0300,13
699963,DC-0500,17,17,0,,0
699969,JT-3950,65,40,1,,0
699981,PM-1300,66,18,0,DH-2700,48
699991,PM-1300,65,40,1,,0
699999,PM-1300,65,40,1,,0
700045,JT-3950,64,45,0,DJ-1850,19
700055,PM-1300,72,40,0,DH-2700,32
700063,JT-3950,60,47,0,GA-0500,13
700104,JT-3950,65,40,1,,0
700123,JT-3950,65,40,1,,0
700134,MN-0800,65,40,1,,0
700167,CB-2275,65,40,1,,0
700176,MN-0800,67,45,0,FT-0300,22
700210,CB-2275,65,40,1,,0
700230,CB-2275,65,40,1,,0
700254,CB-2275,65,40,1,,0
700269,MN-0800,65,40,1,,0
700296,CB-2275,65,40,1,,0
700306,MN-0800,65,40,1,,0
700322,DH-3970,64,45,0,RS-2125,19
700336,DB-0200,68,40,0,CT-1220,28
700356,DB-0200,65,40,1,,0
700368,DH-3970,65,40,1,,0
700390,DB-0200,53,39,0,NP-0100,14
700404,DH-3970,65,40,1,,0
700406,DB-0200,65,40,1,,0
700416,DH-3970,65,40,1,,0
700428,DB-0200,8,8,0,,0
700436,DH-3970,65,40,1,,0
700445,DH-3970,68,35,0,LW-1150,33
700469,DB-0200,65,40,1,,0
700489,CS-0250,69,49,0,TE-0350,20
700506,NN-0200,65,36,0,KD-0450,29
700529,CS-0250,69,50,0,TE-0350,19
700556,NN-0200,66,42,0,KD-0450,24
700566,NN-0200,69,47,0,KD-0450,22
700576,NN-0200,63,37,0,TH-1750,26
700609,CS-0250,64,25,0,,0
700621,NN-0200,64,34,0,TH-1750,30
700630,CS-0250,65,40,1,,0
700643,NN-0200,70,70,0,,0
700657,CS-0250,14,14,0,,0
700660,AF-1150,65,40,1,,0
700670,SG-0800,65,40,1,,0
700684,SG-0800,65,40,1,,0
700703,SG-0800,70,55,0,KD-1462,15
700735,SG-0800,65,40,1,,0
700754,SG-0800,65,40,1,,0
700769,SG-0800,65,40,1,,0
700778,AF-1150,65,40,1,,0
700793,AF-1150,64,46,0,MS-2100,18
700812,AF-1150,65,40,1,,0
700834,JB-7100,57,46,0,TC-0050,11
700904,JB-7100,65,40,1,,0
700917,WL-0300,45,43,0,MH-2400,2
700919,WL-0300,65,40,1,,0
700948,JB-7100,52,39,0,TC-0050,13
700959,WL-0300,65,40,1,,0
700971,JB-7100,65,40,1,,0
700992,WL-0300,65,40,1,,0
701005,PD-0200,60,37,0,TG-0900,23
701015,PD-0200,62,45,0,TG-0900,17
701034,GG-0100,62,51,0,QP-0050,11
701056,PD-0200,60,43,0,TG-0900,17
701059,GG-0100,65,40,1,,0
701097,GG-0100,44,38,0,MD-0150,6
701098,GG-0100,60,35,0,CD-0925,25
701114,GG-0100,65,40,1,,0
701126,GG-0100,82,58,0,CD-0925,24
701146,PD-0200,62,62,0,TG-0900,0
701149,PD-0200,62,3,0,TG-0900,59
701159,GG-0100,65,40,1,,0
701163,PD-0200,60,36,0,TG-0900,24
701173,GG-0100,65,40,1,,0
701181,GG-0100,65,40,1,,0
701191,GG-0100,65,40,1,,0
701196,SM-0650,69,45,0,MM-0900,24
701214,BK-0700,59,49,0,AR-1100,10
701226,SM-0650,65,40,1,,0
701242,RS-3400,68,43,0,DW-1550,25
701276,SM-0650,62,47,0,AA-1350,15
701282,RS-3400,65,40,1,,0
701315,SM-0650,65,40,1,,0
701323,RS-3400,65,40,1,,0
701358,RS-3400,65,40,1,,0
701366,SH-0400,65,40,1,,0
701377,GZ-2000,65,40,1,,0
701405,SH-0400,65,40,1,,0
701441,GZ-2000,71,51,0,PR-0150,20
701449,GZ-2000,65,40,1,,0
701482,GZ-2000,65,40,1,,0
701524,RA-0375,65,40,1,,0
701565,CC-1150,65,40,1,,0
701574,CC-1150,65,40,1,,0
701602,CC-1150,65,40,1,,0
701613,CC-1150,71,52,0,CS-1500,19
701617,CC-1150,65,40,1,,0
701631,RA-0375,65,40,1,,0
701637,CC-1150,65,40,1,,0
701646,CC-1150,65,40,1,,0
701664,CC-1150,65,40,1,,0
701702,SJ-0300,65,40,1,,0
701746,MB-3000,68,47,0,TJ-2400,21
701756,SJ-0300,65,40,1,,0
701768,MB-3000,69,69,0,,0
701780,MB-3000,65,40,1,,0
701789,MB-3000,70,46,0,JR-2075,24
701801,SJ-0300,65,40,1,,0
701821,MB-3000,65,40,1,,0
701836,SJ-0300,65,40,1,,0
701844,MB-3000,65,40,1,,0
701859,MB-3000,65,40,1,,0
701869,SJ-0300,63,52,0,AR-1200,11
701878,PM-0300,65,40,1,,0
701893,PM-0300,65,40,1,,0
701901,BM-1650,65,40,1,,0
701926,BM-1650,65,40,1,,0
701948,PM-0300,65,40,1,,0
701961,BM-1650,65,40,1,,0
701963,BM-1650,64,44,0,QB-0250,20
701982,PM-0300,65,40,1,,0
701997,BM-1650,64,37,0,QB-0250,27
702006,BM-1650,65,40,1,,0
702032,PM-0300,65,40,1,,0
702043,BM-1650,65,40,1,,0
702046,BM-1650,65,40,1,,0
702055,JM-7000,65,40,1,,0
702065,JL-0207,70,46,0,CG-1950,24
702088,JL-0207,65,40,1,,0
702102,JL-0207,65,40,1,,0
702131,JL-0207,61,41,0,CG-1950,20
702142,JL-0207,63,40,0,CG-1950,23
702168,JL-0207,65,40,1,,0
702182,JM-7000,8,8,0,,0
702195,JL-0207,65,40,1,,0
702218,JM-7000,13,13,0,,0
702221,MC-3000,65,40,1,,0
702246,MC-3000,67,42,0,CP-0750,25
702273,BW-0350,65,40,1,,0
702298,BW-0350,65,40,1,,0
702302,BW-0350,62,41,0,TM-3150,21
702332,BW-0350,65,40,1,,0
702345,MC-3000,73,36,0,CP-0750,37
702381,CS-4250,57,41,0,KC-0250,16
702399,CS-4250,65,40,1,,0
702422,CB-0700,69,39,0,WS-0650,30
702443,CS-4250,70,51,0,DT-1250,19
702457,CS-4250,48,31,0,BC-0150,17
702458,CB-0700,66,39,0,JH-5750,27
702490,CS-4250,64,41,0,DT-1250,23
702494,CS-4250,65,40,1,,0
702508,CS-4250,59,44,0,JB-2950,15
702525,CB-0700,16,16,0,,0
702536,SG-0800,65,40,1,,0
702567,SG-0800,66,48,0,CJ-0650,18
702571,SG-0800,65,40,1,,0
702613,NN-0200,67,43,0,CJ-2350,24
702627,SG-0800,56,44,0,TE-0350,12
702637,SG-0800,63,42,0,TE-0350,21
702667,SG-0800,65,40,1,,0
