pid,punter,pgro,pnet,ptb,pr,pry,pfc
701583,BA-0850,34,34,0,,0,0
701587,DB-6350,50,33,0,AH-3862,17,0
701606,BA-0850,49,49,0,JB-6950,0,1
701670,BA-0850,59,39,1,,0,0
701674,DB-6350,46,42,0,AH-3862,4,0
701680,BA-0850,50,50,0,JB-6950,0,1
701687,DB-6350,41,41,0,AH-3862,0,1
701692,BA-0850,52,52,0,JB-6950,0,1
701696,DB-6350,44,19,0,AH-3862,25,0
701714,MB-3000,29,29,0,TC-0385,0,1
701720,MK-0760,64,63,0,EW-0500,1,0
701727,MB-3000,43,43,0,JR-2075,0,0
701734,MK-0760,40,40,0,,0,0
701775,MK-0760,55,-18,0,EW-0500,73,0
701814,MK-0760,52,52,0,EW-0500,0,1
701876,MB-3000,60,40,1,,0,0
701905,PM-0300,72,52,1,,0,0
701911,RD-1187,45,45,0,QB-0250,0,1
701917,PM-0300,51,39,0,JN-1900,12,0
701930,PM-0300,53,39,0,JN-1900,14,0
702010,PM-0300,50,50,0,,0,0
702017,RD-1187,53,33,1,,0,0
702070,BN-0700,43,43,0,,0,0
702076,DK-0350,48,40,0,RG-1812,8,0
702125,DK-0350,56,55,0,RG-1812,1,0
702136,BN-0700,39,30,0,TB-1060,9,0
702148,BN-0700,56,44,0,TB-1060,12,0
702153,DK-0350,39,39,0,RG-1812,0,1
702158,BN-0700,41,41,0,,0,0
702207,DK-0350,30,30,0,,0,0
702228,JL-2250,48,48,0,MH-4000,0,1
702233,JS-1050,38,38,0,,0,0
702237,JL-2250,3,1,0,DR-0450,2,0
702253,JL-2250,47,47,0,MH-4000,0,1
702259,JS-1050,42,42,0,MS-1300,0,1
702277,JS-1050,35,35,0,,0,0
702281,JL-2250,45,45,0,MH-4000,0,1
702288,JS-1050,34,34,0,MS-1300,0,1
702307,JS-1050,44,44,0,MS-1300,0,1
702312,JL-2250,37,37,0,MH-4000,0,1
702349,JL-2250,43,43,0,TD-0737,0,1
702363,JL-2250,50,50,0,,0,0
702385,PO-0050,40,40,0,DS-3300,0,1
702413,DJ-2800,43,43,0,ER-0500,0,1
702427,DJ-2800,32,32,0,,0,0
702431,PO-0050,28,28,0,DS-3300,0,1
702448,PO-0050,51,51,0,DS-3300,0,1
702463,DJ-2800,55,55,0,ER-0500,0,1
702471,DJ-2800,35,35,0,ER-0500,0,1
702480,PO-0050,32,32,0,,0,0
702523,DJ-2800,53,-12,0,ER-0500,65,0
702543,SL-0400,47,47,0,,0,0
702547,RA-0850,52,52,0,TE-0350,0,1
702555,SL-0400,53,28,1,,0,0
702583,RA-0850,36,36,0,TE-0350,0,1
702591,SL-0400,57,44,0,CJ-2350,13,0
702599,RA-0850,52,52,0,TE-0350,0,1
702607,SL-0400,36,36,0,,0,0
702642,SL-0400,55,45,0,CJ-2350,10,0
702646,RA-0850,57,57,0,,0,0
702659,RA-0850,49,49,0,TE-0350,0,1
702663,SL-0400,46,36,0,DA-0900,10,0
702678,RA-0850,47,47,0,,0,0
702694,RA-0850,40,40,0,TE-0350,0,1
