gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,pdo1,ptm2,pen2,desc2,cat2,pey2,pdo2,ptm3,pen3,desc3,cat3,pey3,pdo3,ints,iry,fum,frcv,fry,forc,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,lt,lg,c,rg,rt
4257,697194,(9:35) (Shotgun) C.Newton pass deep middle to K.Benjamin to DEN 36 for 17 yards (J.Simmons).,CAR,DEN,PASS,5,40,1,9,35,0,0,2,3,3,9,47,3,17,Y,Y,Y,,,,,,,,CN-0500,Y,,DM,KB-0950,,JS-3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO-0200,DH-1950,AN-0400,TL-0450,RK-0100
4257,697195,(8:55) (Shotgun) T.Ginn left end to DEN 16 for 20 yards (D.Stewart).,CAR,DEN,RUSH,6,48,1,8,55,0,0,2,3,1,10,64,4,20,Y,Y,Y,,,TG-0900,,LE,DS-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO-0200,DH-1950,AN-0400,TL-0450,RK-0100
4257,697196,(8:07) J.Stewart up the middle to DEN 14 for 2 yards (S.Ray).,CAR,DEN,RUSH,7,47,1,8,7,0,0,2,3,1,10,84,5,2,,,,,,JS-6700,,MD,SR-0250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO-0200,DH-1950,AN-0400,TL-0450,RK-0100
4257,697197,"(7:20) (Shotgun) C.Newton pass short right to K.Benjamin for 14 yards, TOUCHDOWN. PENALTY on CAR-T.Turner, Taunting, 15 yards, enforced between downs. Penalty to be assessed on the kickoff.",CAR,DEN,PASS,8,7,1,7,20,0,0,1,3,2,8,86,5,14,Y,Y,Y,,7,,,,,,CN-0500,Y,,SR,KB-0950,,,,,,CAR,TT-1850,Taunting,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO-0200,DH-1950,AN-0400,TL-0450,RK-0100
4257,697198,"G.Gano extra point is GOOD, Center-J.Jansen, Holder-A.Lee.",CAR,DEN,FGXP,8,3,1,7,13,7,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,GG-0100,33,Y,,,,,,,,,,,,,,,,,,
4257,697199,"G.Gano kicks 80 yards from CAR 20 to end zone, Touchback.",DEN,CAR,KOFF,0,6,1,7,13,0,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GG-0100,80,55,Y,,,,,,,
4257,697200,(7:13) T.Siemian pass short right to E.Sanders ran ob at DEN 39 for 14 yards.,DEN,CAR,PASS,1,30,1,7,13,0,7,3,1,1,10,25,2,14,Y,Y,,,,,,,,,TS-1450,Y,,SR,ES-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697201,(6:48) (Shotgun) C.Anderson up the middle to DEN 42 for 3 yards (K.Short).,DEN,CAR,RUSH,2,29,1,6,48,0,7,3,1,1,10,39,2,3,,,Y,,,CA-0750,,MD,KS-0850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697202,(6:19) T.Siemian pass short right to D.Thomas to 50 for 8 yards (J.Bradberry).,DEN,CAR,PASS,3,41,1,6,19,0,7,3,1,2,7,42,3,8,Y,Y,,,,,,,,,TS-1450,Y,,SR,DT-0900,,JB-4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697203,(5:38) C.Anderson right guard to DEN 49 for -1 yards (L.Kuechly).,DEN,CAR,RUSH,4,40,1,5,38,0,7,3,1,1,10,50,3,-1,,,,,,CA-0750,,RG,LK-0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697204,(4:58) (Shotgun) T.Siemian pass short right to C.Anderson to CAR 30 for 21 yards (T.Davis).,DEN,CAR,PASS,5,38,1,4,58,0,7,3,1,2,11,49,3,21,Y,Y,Y,,,,,,,,TS-1450,Y,,SR,CA-0750,,TD-0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697205,(4:20) D.Booker right guard to CAR 24 for 6 yards (J.Bradberry; K.Coleman).,DEN,CAR,RUSH,6,40,1,4,20,0,7,3,1,1,10,70,4,6,Y,,,,,DB-2950,,RG,JB-4975,KC-1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697206,(3:40) D.Booker right guard to CAR 22 for 2 yards (T.Davis).,DEN,CAR,RUSH,7,40,1,3,40,0,7,3,1,2,4,76,4,2,,,,,,DB-2950,,RG,TD-0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
