pid,rb,te,drp,mbt,yac
697489,1,1,0,0,0
697490,2,0,0,0,0
697491,2,1,0,0,0
697492,2,1,0,0,3
697493,2,1,0,0,0
697494,1,1,0,0,0
697495,1,1,0,0,1
697496,1,1,0,0,0
697499,2,1,0,0,0
697500,2,3,0,0,0
697504,1,1,0,0,-2
697506,1,1,0,0,0
697507,1,1,0,0,0
697509,2,1,0,0,0
697510,2,1,0,0,0
697511,1,1,0,0,2
697512,1,2,0,0,0
697513,1,1,0,1,0
697514,1,2,0,0,0
697515,1,2,0,0,0
697516,0,1,0,0,0
697517,2,1,0,0,0
697518,0,2,0,0,0
697519,1,1,0,0,8
697520,1,1,0,0,0
697521,1,2,0,0,0
697522,1,1,0,1,0
697524,1,1,0,0,0
697525,1,0,0,0,0
697526,1,1,1,0,0
697529,0,1,0,0,0
697530,2,1,0,0,0
697531,1,1,0,0,0
697532,1,2,0,0,0
697533,1,1,0,0,0
697534,1,1,0,0,0
697536,1,1,0,0,0
697537,1,1,0,0,2
697538,0,1,0,0,0
697539,1,2,0,2,0
697540,1,2,0,0,0
697541,1,1,0,0,0
697542,1,1,0,0,0
697543,1,2,0,0,0
697544,2,2,0,0,0
697545,1,0,0,0,0
697548,1,1,0,0,2
697549,1,1,0,0,0
697550,1,1,0,0,0
697551,1,1,0,0,0
697553,1,1,1,0,0
697554,1,1,0,0,0
697555,1,1,0,0,0
697557,1,1,0,0,0
697559,1,1,0,0,6
697560,1,1,0,0,0
697563,2,2,0,0,0
697565,2,1,0,0,0
697566,2,1,0,0,0
697567,1,1,0,0,2
697569,1,1,0,0,0
697570,1,1,0,0,0
697571,1,1,0,0,0
697574,2,1,0,0,0
697575,2,1,0,0,0
697576,1,1,0,0,0
697578,1,1,0,0,0
697579,1,1,0,0,0
697580,1,1,0,0,0
697582,1,1,0,0,0
697583,1,2,0,0,0
697584,1,2,0,0,0
697585,1,1,0,0,0
697587,1,2,0,0,0
697588,1,1,0,0,0
697589,1,0,0,0,0
697590,1,1,0,0,0
697591,1,2,0,0,0
697592,0,1,0,0,0
697594,1,1,0,0,0
697595,1,1,0,0,0
697596,1,1,0,0,0
697598,1,1,0,0,0
697599,1,1,0,0,1
697600,1,0,0,2,20
697602,1,2,0,1,0
697603,1,2,0,1,0
697604,1,3,0,0,0
697605,1,1,0,0,0
697606,1,1,0,0,0
697607,1,1,0,0,22
697610,1,2,0,0,0
