tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8523,4262,GB,27,7,14,3,3,6,10,2,96,26,199,33,20,1,0,0,4,184,0,0,1,14,1,9,24,28.5,3,1,2,0,2,2,45,4,2,28,83,11,5,3,3,15,4,6,5,6,6,0,0,0,0,13,47,1,4,0,0,4,39,13,38,7,42,4,16,3,17,17,45,2,12,7,43,5,38,2,61,0,0,17,89,8,58,5,29,3,23,44,290,9,35,14,63,11,101,6,9,5,7,22,5,11,6,14,2,0,8,25,6,13,0,2,1,235,10,170,0,0,0,5.5,0,14,5,4.5,21,16,3,2,9,4,5,0,0,0,2,1,2,1,0,64,72
8524,4262,JAC,23,7,10,3,3,4,14,2,49,27,300,39,24,3,1,0,2,125,1,14,2,51,0,0,79,31.5,2,1,1,0,3,3,115,3,1,0,171,11,5,4,2,18,7,6,5,3,6,0,0,2,8,16,37,1,5,0,0,3,-7,16,34,6,12,3,3,1,3,10,113,13,83,6,12,3,0,3,60,4,52,20,147,6,31,7,112,6,30,43,294,11,109,15,82,16,109,2,16,6,9,20,8,55,5,10,18,85,4,13,4,6,20,0,0,306,10,125,0,2,0,7.5,1.5,9.5,3,6,13.5,3,6,2,10,2,9,0,1,2,2,2,3,1,0,72,64
8525,4263,MIN,25,0,0,12,13,3,12,0,66,29,236,33,18,0,0,0,3,113,3,19,1,61,1,77,39,29.5,2,0,0,2,4,6,158,3,0,0,75,9,4,4,1,14,3,6,5,1,6,3,6,5,9,7,21,5,7,3,8,3,9,12,27,11,23,4,16,1,9,6,25,5,25,15,95,4,49,3,42,0,0,15,108,6,60,8,65,4,3,31,210,12,30,11,95,10,111,3,8,7,5,20,8,48,2,7,5,40,6,2,0,0,0,0,0,351,10,99,0,1,0,8.5,3,4.5,2.5,8,19.5,3,4,4,7,2,8,13,0,2,0,0,1,2,0,63,67
8526,4263,TEN,16,3,7,0,6,2,16,1,64,22,252,41,25,2,1,2,5,231,1,14,5,118,0,0,10,30.5,2,0,2,0,1,1,28,3,2,22,55,11,6,4,1,25,8,10,7,5,15,3,2,1,5,9,30,2,2,1,4,1,6,12,44,7,18,3,2,4,19,17,116,4,42,14,96,2,0,1,17,3,0,15,102,12,51,5,42,9,76,40,250,16,56,16,99,11,97,4,15,6,9,36,7,52,1,0,0,0,2,4,10,36,19,0,0,290,11,192,1,1,0,9.5,0,9,0,8.5,18,13,6,4,7,3,7,0,2,1,0,0,0,0,0,67,63
8527,4264,OAK,35,10,0,3,22,8,14,3,167,26,319,37,24,0,0,0,4,199,2,16,3,49,0,0,141,30.5,4,3,1,0,2,2,78,4,3,96,178,15,8,5,2,18,9,7,2,1,11,1,5,10,84,0,0,9,25,2,9,3,-2,12,44,11,69,3,19,2,16,9,86,7,67,15,44,2,77,2,25,2,20,20,224,5,19,5,25,7,51,35,238,17,178,12,102,8,39,5,11,8,4,16,6,82,6,62,7,43,3,10,5,13,0,0,0,315,11,168,1,2,0,13,2,4,6,5,17,5,1,1,9,3,6,0,2,7,0,1,4,2,0,73,69
8528,4264,NO,34,3,14,7,10,7,16,4,88,22,419,40,28,1,0,1,2,95,2,11,5,86,0,0,53,29.5,4,0,4,0,2,4,62,5,3,40,256,12,7,2,3,24,10,12,2,2,15,3,9,8,32,0,0,5,22,3,9,1,1,14,68,4,10,4,10,2,5,12,74,6,58,14,80,5,152,1,21,1,0,9,105,15,230,4,6,11,44,38,326,16,163,17,203,8,15,7,12,9,7,27,11,59,4,27,7,85,3,8,9,25,4,0,0,217,12,79,0,1,0,6,1,10.5,7,6.5,14,1,4,4,4,0,4,0,1,0,2,0,3,0,1,69,73
8529,4265,SD,27,7,14,3,3,10,12,3,156,33,233,36,25,1,0,0,5,178,2,8,2,43,1,0,30,34,3,2,1,0,2,3,57,5,3,60,91,19,10,7,2,21,8,8,5,1,10,0,0,1,5,27,142,2,-1,0,0,0,0,16,97,11,45,4,14,1,10,14,91,6,54,14,98,1,0,0,0,1,0,15,95,8,77,6,40,7,31,46,356,15,77,11,57,11,99,7,14,4,9,51,7,83,3,10,5,0,6,21,8,25,10,1,0,365,12,143,0,1,0,4,3,8.5,11,4.5,20,1,7,4,5,1,5,0,0,3,2,1,3,1,0,73,71
8530,4265,KC,33,3,0,7,17,6,19,1,83,19,330,48,34,3,1,0,5,197,4,35,0,0,0,0,46,31,4,2,2,0,2,2,80,5,4,48,135,11,5,3,3,27,14,9,4,3,-4,0,0,0,0,11,47,0,0,0,0,5,40,9,37,7,28,3,18,4,15,15,115,8,63,15,99,2,19,3,67,2,0,14,106,6,10,11,94,14,153,62,435,24,210,14,106,13,14,9,18,7,4,18,8,53,6,33,8,74,3,13,7,35,33,0,0,341,12,169,1,1,0,7.5,1,12.5,7.5,9,16.5,12,6,4,3,0,4,0,2,1,0,0,3,1,1,71,73
8531,4266,TB,31,3,14,14,0,5,12,3,92,32,281,33,23,0,1,0,5,247,0,0,1,12,0,0,48,27.5,4,0,4,0,1,1,43,2,1,29,151,9,6,3,0,19,8,8,3,5,22,5,18,2,12,0,0,5,18,6,13,3,11,17,68,7,23,2,3,2,7,7,51,4,25,14,103,4,102,0,0,4,0,14,117,5,34,6,64,8,66,27,220,10,92,15,147,8,42,8,8,7,5,13,7,15,7,28,1,5,2,-4,1,4,0,1,0,286,12,225,0,2,0,3,3,11,14.5,7,10.5,2,1,0,5,1,7,0,0,2,2,0,0,3,0,64,65
8532,4266,ATL,24,10,3,8,3,2,16,1,53,23,322,39,27,3,0,0,5,193,2,22,3,85,1,9,74,32.5,2,0,2,0,3,3,97,4,1,10,152,7,4,3,0,21,10,7,4,5,2,1,3,1,7,0,0,7,25,3,9,4,7,11,25,8,24,2,4,2,11,13,101,10,81,10,74,3,0,1,19,1,59,16,146,2,0,9,65,11,123,33,248,17,153,12,86,13,83,8,11,8,5,10,9,86,0,0,5,19,5,9,8,14,12,0,0,370,12,193,0,4,0,9,1,7.5,6.5,9.5,11.5,2,1,1,10,2,7,0,3,1,0,2,2,2,0,65,64
