uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
99922,4269,699215,NYG,3,KOFF,2,4,2,25,12,8,1,4,0,32,3,63,9,8,0,20,75,TD
99923,4269,699231,NYG,4,KOFF,3,0,46,24,2,0,0,0,0,1,1,0,1,0,0,0,1,INT
99924,4269,699233,DAL,4,INT,3,3,27,65,7,5,1,2,0,18,3,17,4,3,0,0,35,TD
99925,4269,699242,NYG,5,KOFF,3,2,11,14,4,0,0,0,0,-1,2,-4,2,0,5,0,0,PUNT
99926,4269,699248,DAL,5,PUNT,3,1,3,40,3,0,0,0,0,0,0,1,3,1,0,0,1,PUNT
99927,4269,699252,NYG,6,PUNT,3,3,33,12,6,3,1,0,0,16,4,-1,2,0,0,0,20,PUNT
99928,4269,699259,DAL,6,PUNT,3,5,1,25,11,5,3,0,0,30,6,9,4,1,0,0,39,FG
99929,4269,699271,NYG,7,KOFF,4,2,0,25,4,2,0,1,0,-2,1,22,3,2,0,0,20,PUNT
99930,4269,699276,DAL,7,PUNT,4,1,47,20,3,0,0,0,0,2,1,3,2,1,0,10,-5,PUNT
99931,4269,699281,NYG,8,PUNT,4,3,59,46,9,6,2,2,0,21,3,38,6,4,0,5,54,TD
99932,4269,699293,DAL,8,KOFF,4,2,16,25,6,1,0,1,0,0,1,18,5,2,0,10,8,PUNT
99933,4269,699301,NYG,9,PUNT,4,2,52,23,7,4,2,0,0,40,7,0,0,0,0,0,40,PUNT
99934,4269,699309,DAL,9,PUNT,4,1,5,20,8,3,0,2,0,0,0,45,8,3,0,5,40,ENDQ
99935,4270,699319,ARI,1,KOFF,1,3,13,25,5,1,0,1,0,0,2,24,3,2,0,5,24,PUNT
99936,4270,699326,NE,1,PUNT,1,4,13,26,8,5,0,4,0,8,3,75,5,4,0,9,74,TD
99937,4270,699337,ARI,2,KOFF,1,1,22,11,4,1,0,1,0,3,1,39,3,1,0,0,42,PUNT
99938,4270,699342,NE,2,PUNT,1,5,12,8,12,5,2,2,0,27,5,31,6,3,5,0,63,FG
99939,4270,699356,ARI,3,KOFF,1,3,38,19,7,4,0,2,0,8,2,34,5,3,0,0,42,PUNT
99940,4270,699364,NE,3,PUNT,2,1,56,16,6,2,0,2,1,1,1,29,5,2,15,5,25,FUM
99941,4270,699371,ARI,4,FUM,2,6,20,46,11,9,3,2,1,25,7,29,4,4,0,0,54,TD
99942,4270,699384,NE,4,KOFF,2,2,16,26,3,1,0,0,0,4,2,-2,1,1,0,0,0,PUNT
99943,4270,699388,ARI,5,PUNT,2,0,26,38,3,0,0,0,0,0,0,0,3,0,0,0,0,PUNT
99944,4270,699392,NE,5,PUNT,2,1,9,31,4,0,0,0,0,12,4,0,0,0,0,20,-8,PUNT
99945,4270,699398,ARI,6,PUNT,2,0,15,32,1,0,0,0,0,0,0,-8,1,0,0,0,-8,ENDQ
99946,4270,699400,NE,6,KOFF,3,5,0,25,9,5,3,1,0,31,5,44,4,4,0,0,75,TD
99947,4270,699411,ARI,7,KOFF,3,2,59,25,6,3,1,0,0,6,3,4,3,1,0,0,8,PUNT
99948,4270,699418,NE,7,PUNT,3,0,41,28,2,1,1,0,0,0,1,5,1,1,0,0,5,FUM
99949,4270,699420,ARI,8,FUM,3,1,51,67,5,4,1,2,1,4,2,29,3,2,0,0,33,TD
99950,4270,699427,NE,8,KOFF,3,6,54,25,11,4,1,1,1,15,5,20,5,4,15,10,40,FG
99951,4270,699442,ARI,9,KOFF,4,2,49,21,7,5,1,3,0,45,1,29,6,4,20,0,79,TD
99952,4270,699452,NE,9,KOFF,4,6,2,25,13,5,1,2,0,9,4,57,8,5,0,5,61,FG
99953,4270,699467,ARI,10,KOFF,4,3,8,8,11,4,0,3,0,1,1,72,9,7,0,10,63,MFG
99954,4270,699479,NE,10,MFG,4,0,36,37,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99955,4271,699481,WAS,1,KOFF,1,3,44,25,7,2,0,2,0,-4,2,39,5,3,0,0,35,PUNT
99956,4271,699489,PIT,1,PUNT,1,1,56,13,3,1,0,0,0,0,1,8,2,2,0,0,8,PUNT
99957,4271,699493,WAS,2,PUNT,1,3,24,33,9,5,0,2,0,17,3,37,5,2,0,0,54,FG
99958,4271,699503,PIT,2,KOFF,1,2,10,25,5,3,0,1,0,4,1,25,4,2,0,0,29,INT
99959,4271,699508,WAS,3,INT,1,2,38,63,5,2,0,1,0,0,0,19,4,3,0,5,14,FG
99960,4271,699515,PIT,3,KOFF,1,5,58,25,11,7,1,3,0,16,4,146,7,5,0,0,75,TD
99961,4271,699528,WAS,4,KOFF,2,3,51,25,5,1,0,1,0,6,1,51,4,4,0,15,42,DWNS
99962,4271,699535,PIT,4,DWNS,2,5,52,33,14,10,2,3,0,20,5,47,9,7,0,0,67,TD
99963,4271,699551,WAS,5,KOFF,2,0,27,25,1,1,0,0,0,9,1,0,0,0,0,0,9,ENDQ
99964,4271,699553,PIT,5,KOFF,3,3,42,25,8,4,1,1,0,31,4,16,3,1,0,0,47,FG
99965,4271,699562,WAS,6,KOFF,3,2,13,25,4,1,0,1,0,-1,1,16,3,2,10,5,19,INT
99966,4271,699567,PIT,6,INT,3,2,4,25,5,3,0,2,0,0,0,75,5,4,0,15,75,TD
99967,4271,699574,WAS,7,KOFF,3,5,0,32,9,5,1,2,0,12,1,55,7,6,0,15,52,FG
99968,4271,699586,PIT,7,KOFF,3,1,42,25,3,2,0,0,0,8,2,0,1,0,0,0,8,PUNT
99969,4271,699590,WAS,8,PUNT,3,2,18,23,7,7,2,3,0,8,2,69,5,5,0,0,77,TD
99970,4271,699599,PIT,8,KOFF,4,7,13,27,13,10,3,3,0,41,7,42,6,5,5,10,73,TD
99971,4271,699614,WAS,9,KOFF,4,1,31,25,5,1,0,1,0,8,1,17,4,2,0,5,20,DWNS
99972,4271,699620,PIT,9,DWNS,4,2,23,55,6,4,2,1,0,29,5,16,1,1,0,0,45,TD
99973,4271,699628,WAS,10,KOFF,4,1,36,25,6,3,0,1,1,0,0,26,6,3,46,0,72,INT
99974,4271,699635,PIT,10,INT,4,0,18,20,1,0,0,0,0,-2,1,0,0,0,0,0,-2,ENDQ
99975,4272,699637,LA,1,KOFF,1,3,40,25,8,4,1,1,0,10,2,19,6,3,0,0,29,PUNT
99976,4272,699646,SF,1,PUNT,1,2,25,18,6,2,1,0,0,15,3,6,3,2,0,0,21,PUNT
99977,4272,699653,LA,2,PUNT,1,2,13,9,3,0,0,0,0,2,2,-6,1,0,0,0,-4,PUNT
99978,4272,699657,SF,2,PUNT,1,3,18,48,10,7,3,1,0,30,5,17,5,3,5,0,52,TD
99979,4272,699669,LA,3,KOFF,1,1,40,21,3,0,0,0,0,3,1,3,2,1,0,0,6,PUNT
99980,4272,699673,SF,3,PUNT,1,2,34,23,7,3,1,1,0,28,5,13,2,2,0,0,41,DWNS
99981,4272,699680,LA,4,DWNS,2,3,10,36,6,3,1,1,0,12,4,22,2,1,0,15,9,INT
99982,4272,699686,SF,4,INT,2,2,44,41,9,5,3,1,0,34,5,22,4,2,3,0,59,TD
99983,4272,699697,LA,5,KOFF,2,2,50,25,5,2,0,1,0,7,3,22,2,1,0,0,29,PUNT
99984,4272,699703,SF,5,PUNT,2,2,9,10,5,2,1,2,1,14,2,22,3,3,15,0,51,FUM
99985,4272,699709,LA,6,FUM,2,0,53,39,3,0,0,0,1,2,1,0,2,0,0,0,2,PUNT
99986,4272,699713,SF,6,PUNT,2,1,17,20,3,0,0,0,0,3,2,0,1,0,0,0,3,PUNT
99987,4272,699717,LA,7,PUNT,2,0,51,39,3,0,0,0,0,0,0,-9,3,1,0,0,-9,PUNT
99988,4272,699721,SF,7,PUNT,2,0,16,26,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99989,4272,699723,SF,8,KOFF,3,1,56,25,3,1,0,0,0,0,1,-10,2,2,0,0,-10,PUNT
99990,4272,699727,LA,8,PUNT,3,1,56,41,3,1,0,0,0,1,2,3,1,1,0,0,4,PUNT
99991,4272,699731,SF,9,PUNT,3,0,52,18,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT
99992,4272,699735,LA,9,PUNT,3,1,7,17,3,0,0,0,0,0,0,5,3,1,0,0,5,PUNT
99993,4272,699739,SF,10,PUNT,3,1,33,35,3,0,0,0,0,0,2,-2,1,1,0,0,-2,PUNT
99994,4272,699743,LA,10,PUNT,3,2,33,28,4,1,1,0,0,12,2,7,2,2,0,10,9,PUNT
99995,4272,699749,SF,11,PUNT,3,1,11,16,3,0,0,0,0,2,2,0,1,0,0,0,2,PUNT
99996,4272,699753,LA,11,PUNT,3,2,50,62,5,2,0,1,0,7,3,5,2,1,0,0,12,INT
99997,4272,699758,SF,12,INT,3,3,55,23,10,4,0,4,0,2,3,73,7,4,12,10,77,TD
99998,4272,699773,LA,12,KOFF,4,1,2,25,3,1,0,0,0,0,0,6,3,1,0,0,6,PUNT
99999,4272,699777,SF,13,PUNT,4,5,51,20,11,7,3,2,2,19,7,29,4,3,32,0,80,TD
100000,4272,699791,LA,13,KOFF,4,2,41,28,10,5,1,2,0,10,2,43,8,4,0,0,53,DWNS
100001,4272,699801,SF,14,DWNS,4,2,9,19,3,0,0,0,0,1,3,0,0,0,0,0,1,PUNT
100002,4272,699805,LA,14,PUNT,4,0,24,44,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
100003,4273,699807,NYJ,1,KOFF,1,8,19,25,15,5,1,2,0,25,7,40,7,2,5,5,65,FG
100004,4273,699825,BUF,1,KOFF,1,1,25,18,3,1,0,1,0,0,1,82,2,2,15,0,82,TD
100005,4273,699830,NYJ,2,KOFF,1,5,16,14,9,4,0,2,1,13,5,36,3,3,26,0,75,FG
100006,4273,699841,BUF,2,KOFF,2,1,38,26,3,0,0,0,0,1,1,6,2,1,0,0,7,PUNT
100007,4273,699845,NYJ,3,PUNT,2,2,15,34,6,5,1,2,0,10,3,52,3,2,4,0,66,TD
100008,4273,699853,BUF,3,KOFF,2,3,20,25,6,2,2,0,0,32,4,0,2,0,0,20,12,PUNT
100009,4273,699862,NYJ,4,PUNT,2,3,54,23,7,5,0,5,0,3,2,79,5,5,0,5,77,TD
100010,4273,699872,BUF,4,KOFF,2,3,48,25,13,8,2,1,0,13,4,41,8,5,0,0,54,FG
100011,4273,699886,NYJ,5,KOFF,2,0,5,10,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
100012,4273,699888,BUF,5,KOFF,3,0,51,25,3,2,0,1,0,0,0,75,3,2,0,0,75,TD
100013,4273,699893,NYJ,6,KOFF,3,2,54,20,5,2,1,1,0,13,4,2,1,1,0,0,15,FUM
100014,4273,699901,NYJ,7,KOFF,3,1,42,27,3,1,0,0,0,0,0,11,3,1,0,10,1,PUNT
100015,4273,699906,BUF,6,PUNT,3,0,54,33,3,1,0,0,0,6,1,0,2,0,0,0,6,PUNT
100016,4273,699910,NYJ,8,PUNT,3,6,27,16,12,8,2,4,0,22,4,58,8,6,4,0,84,TD
100017,4273,699925,BUF,7,KOFF,3,2,20,47,4,1,0,0,0,-4,2,10,2,1,5,0,11,INT
100018,4273,699930,NYJ,9,INT,4,4,12,13,8,2,0,2,0,4,3,65,4,3,0,0,69,FG
100019,4273,699939,BUF,8,KOFF,4,3,37,22,5,2,1,0,0,28,5,0,0,0,5,0,33,DWNS
100020,4273,699945,NYJ,10,DWNS,4,3,1,44,5,5,2,1,0,29,4,27,1,1,0,0,56,TD
100021,4273,699952,BUF,9,KOFF,4,2,47,25,10,7,1,5,0,10,1,65,9,7,0,0,75,TD
100022,4273,699964,NYJ,11,KOFF,4,1,5,45,3,0,0,0,0,5,3,0,0,0,0,0,5,PUNT
100023,4273,699968,BUF,10,PUNT,4,0,10,15,1,1,0,1,0,0,0,10,1,1,0,0,10,ENDQ
100024,4274,699970,CLE,1,KOFF,1,5,15,25,9,4,0,3,0,18,5,67,4,3,0,10,75,TD
